segment_no	gene_ID	chromosome	gene_start	gene_end	start	end	mean_h2az	max_h2az
1904	AT1G55830	1	20867559	20870338	20867648	20869498	0.765496943	4.175189972
1905	AT1G55840	1	20873425	20876346	20874676	20875500	0.728106586	1.101789951
1906	AT1G55850	1	20876440	20879482	20878302	20879235	0.826054578	1.971619964
1907	AT1G55860	1	20879900	20893268	20880031	20892340	0.460013632	7.306580067
1908	AT1G55900	1	20903053	20905853	20904036	20905000	0.660603453	1.043799996
1909	AT1G55915	1	20907477	20910911	20908152	20909800	1.060853086	3.72784996
1910	AT1G55930	1	20918683	20922786	20919581	20922150	0.459226999	0.985809028
1911	AT1G55950	1	20926717	20927545	20927002	20927100	1.128603995	1.369979978
1912	AT1G55960	1	20927643	20930209	20927874	20928552	0.526236468	1.826650023
1913	AT1G55970	1	20932451	20938352	20932461	20937550	0.359591624	2.191979885
1914	AT1G56000	1	20944136	20946718	20945652	20946500	0.668294688	1.739660025
1915	AT1G56050	1	20963686	20966341	20964802	20966050	0.675067607	1.565700054
1916	AT1G56070	1	20967652	20971742	20968439	20970350	0.739999437	2.609489918
1917	AT1G56080	1	20974161	20976372	20974654	20974950	0.592349827	0.82012701
1918	AT1G56090	1	20977541	20979448	20977776	20978558	0.720542525	1.87883997
1919	AT1G56100	1	20980369	20984115	20982015	20982800	0.38411699	1.192909956
1920	AT1G56110	1	20984273	20986952	20984781	20985880	0.873722473	2.783459902
1921	AT1G56120	1	20987128	20993572	20987902	20991800	1.147835521	8.350379944
1922	AT1G56130	1	20994746	21001013	20995352	20999800	0.803486738	5.392960072
1923	AT1G56140	1	21001269	21007855	21002152	21006809	0.421474109	6.262790203
1924	AT1G56145	1	21008057	21014095	21008952	21012800	0.517850503	2.739969969
1925	AT1G56180	1	21024486	21028066	21026101	21027124	0.358739143	0.591485023
1926	AT1G56200	1	21030787	21032234	21031718	21031882	0.560461752	0.739356995
1927	AT1G56230	1	21045993	21049241	21046352	21048327	0.993978275	2.982280016
1928	AT1G56280	1	21072855	21074877	21073177	21074121	0.691346247	2.296360016
1929	AT1G56290	1	21075262	21078797	21075877	21078550	0.730542836	3.653290033
1930	AT1G56310	1	21082490	21085651	21083255	21085617	0.418606602	1.304749966
1931	AT1G56320	1	21085548	21086499	21085616	21085750	0.247487669	0.372785002
1932	AT1G56330	1	21086501	21088554	21086880	21087950	0.698060728	2.087599993
1933	AT1G56340	1	21089565	21092709	21090168	21091556	0.589743478	2.348550081
1934	AT1G56350	1	21094743	21098047	21095702	21097748	0.343128782	0.939418018
1935	AT1G56420	1	21122551	21124491	21122778	21123600	0.378673115	1.043799996
1936	AT1G56423	1	21128912	21130939	21129802	21130200	0.686355118	1.344889998
1937	AT1G56440	1	21138515	21141644	21138607	21140850	0.442624316	1.565700054
1938	AT1G56450	1	21141633	21144458	21142561	21144213	0.644424791	3.44453001
1939	AT1G56460	1	21146236	21149805	21147136	21149443	0.526057637	1.435220003
1940	AT1G56500	1	21159736	21167341	21160602	21166600	0.566986133	3.783770084
1941	AT1G56530	1	21179237	21180888	21179970	21180861	0.3171585	1.342030048
1942	AT1G56560	1	21192137	21195166	21193696	21194500	0.784602458	1.670079947
1943	AT1G56570	1	21195644	21199130	21196402	21198100	0.70100253	1.565700054
1944	AT1G56590	1	21201948	21204856	21202252	21203965	0.595259016	2.348550081
1945	AT1G56610	1	21211719	21214562	21212752	21214508	0.562608135	1.826650023
1946	AT1G56700	1	21256025	21257973	21257052	21257716	0.563711425	1.174270034
1947	AT1G57540	1	21309895	21311521	21309989	21310586	0.501982997	1.043799996
1948	AT1G57590	1	21327360	21329944	21328502	21328650	1.026120683	1.092730045
1949	AT1G57600	1	21330017	21334790	21330634	21333988	0.402269003	1.391729951
1950	AT1G57613	1	21340183	21340716	21340502	21340626	0.913787335	1.913630009
1951	AT1G57620	1	21342627	21344804	21343606	21344503	0.502645733	0.939418018
1952	AT1G57670	1	21357169	21359872	21357952	21358050	0.939419001	1.043799996
1953	AT1G57680	1	21362359	21364749	21362744	21363600	1.167749665	3.740279913
1954	AT1G57700	1	21370587	21374226	21371471	21373823	0.525787722	1.739660025
1955	AT1G57720	1	21377320	21380382	21378402	21379800	0.477691503	1.565700054
1956	AT1G57765	1	21393084	21394982	21394023	21394800	0.896806622	1.826650023
1957	AT1G57770	1	21395096	21398300	21398002	21398069	0.981831521	1.075240016
1958	AT1G57775	1	21399618	21400150	21399759	21400096	0.168640714	0.347932994
1959	AT1G57777	1	21401235	21401798	21401342	21401744	0.24161966	0.417519003
1960	AT1G57870	1	21431051	21436329	21431602	21434904	0.504944657	2.191979885
1961	AT1G58025	1	21457667	21462243	21458152	21461500	0.449042561	1.217759967
1962	AT1G58030	1	21464001	21468505	21464208	21467300	0.525373208	1.565700054
1963	AT1G58060	1	21489284	21501890	21489492	21501164	0.266726821	1.826650023
1964	AT1G58070	1	21502905	21504078	21503802	21503893	1.01701498	1.017699957
1965	AT1G58080	1	21504314	21507679	21504402	21506400	0.540092523	2.087599993
1966	AT1G58100	1	21512332	21514189	21512758	21512876	0.47060132	0.521898985
1967	AT1G58110	1	21515405	21518270	21515705	21516950	0.545462688	2.203569889
1968	AT1G58180	1	21537577	21540038	21538797	21538991	0.707048601	0.913322985
1969	AT1G58200	1	21548140	21553266	21548363	21552338	0.600933457	13.30840015
1970	AT1G58220	1	21558243	21562966	21558405	21562083	0.574929185	3.305360079
1971	AT1G58223	1	21558383	21559933	21558405	21559920	0.66032738	3.305360079
1972	AT1G58230	1	21566057	21579159	21566712	21578897	0.347609165	4.697090149
1973	AT1G58242	1	21581964	21582370	21581971	21582357	0.832201459	1.739660025
1974	AT1G58248	1	21586036	21586311	21586074	21586307	0.256116994	0.313138992
1975	AT1G58250	1	21587060	21601740	21587544	21600892	0.31596591	2.609489918
1976	AT1G58280	1	21620278	21622611	21621030	21621250	0.49620519	0.835038006
1977	AT1G58290	1	21623700	21626402	21624276	21625194	0.747719206	2.21807003
1978	AT1G58350	1	21662891	21667629	21663196	21666650	0.495441745	1.913630009
1979	AT1G58390	1	21690642	21694447	21691234	21693000	0.562902388	1.461320043
1980	AT1G58400	1	21695699	21699695	21697294	21697526	0.294086004	0.372785002
1981	AT1G58410	1	21701185	21704982	21702539	21703200	0.418791073	0.675399005
1982	AT1G58440	1	21713842	21717380	21714181	21715850	1.099583701	3.131390095
1983	AT1G58470	1	21726963	21728802	21727702	21728300	0.614637256	0.891973019
1984	AT1G58520	1	21729913	21738808	21733802	21738100	0.737982269	2.870440006
1985	AT1G58602	1	21746354	21766048	21746803	21764450	1.08529136	14.26519966
1986	AT1G59520	1	21861282	21866210	21862152	21865978	0.407108548	1.565700054
1987	AT1G59540	1	21874012	21879570	21874602	21879350	0.666148886	1.565700054
1988	AT1G59560	1	21881534	21883806	21882402	21883598	0.745925784	1.696169972
1989	AT1G59600	1	21889639	21892056	21889902	21891100	0.524181455	1.091240048
1990	AT1G59610	1	21893142	21901086	21894129	21900750	0.411381418	4.175189972
1991	AT1G59650	1	21919745	21923013	21920906	21922586	0.478919704	1.565700054
1992	AT1G59660	1	21923986	21929437	21925252	21928450	1.054292173	4.175189972
1993	AT1G59710	1	21938367	21940184	21939652	21940000	0.643171996	1.109040022
1994	AT1G59750	1	21979289	21984433	21980394	21984401	0.460787938	3.479330063
1995	AT1G59760	1	21984428	21990286	21984524	21989399	0.424206011	3.392339945
1996	AT1G59820	1	22011305	22020386	22012102	22020320	0.347564249	2.609489918
1997	AT1G59830	1	22020377	22022503	22020406	22021561	1.068660833	1.992699981
1998	AT1G59835	1	22024945	22025421	22025098	22025174	0.347201327	0.368398994
1999	AT1G59840	1	22026462	22029379	22028152	22028350	0.933824241	1.155629992
2000	AT1G59850	1	22028509	22030261	22029502	22029900	1.021376498	1.232640028
2001	AT1G59870	1	22034423	22040126	22036802	22039350	0.954092227	7.045629978
2002	AT1G59890	1	22043643	22051114	22044665	22050755	0.310640934	1.565700054
2003	AT1G59900	1	22051133	22053885	22052638	22053453	0.993394212	3.280509949
2004	AT1G59910	1	22053863	22057268	22054600	22056049	0.421407115	2.087599993
2005	AT1G59980	1	22080689	22086845	22081899	22086822	1.06703438	6.262790203
2006	AT1G59990	1	22090226	22093385	22090902	22092100	0.723228075	1.670079947
2007	AT1G60030	1	22113671	22117018	22114802	22115100	0.584188993	1.304749966
2008	AT1G60070	1	22142604	22149527	22143060	22148700	0.385596002	2.087599993
2009	AT1G60080	1	22152230	22154643	22152610	22153850	0.598160837	1.42335999
2010	AT1G60140	1	22176934	22181740	22177452	22179748	0.298751329	1.148180008
2011	AT1G60170	1	22192758	22195400	22193472	22195159	0.702990143	2.400729895
2012	AT1G60200	1	22200694	22205400	22201152	22204579	0.381188388	2.21807003
2013	AT1G60220	1	22208089	22212171	22209228	22212169	0.490514836	2.460380077
2014	AT1G60230	1	22212084	22214431	22212168	22213463	0.430294722	1.118350029
2015	AT1G60420	1	22261754	22264408	22262652	22264193	0.526426232	1.891880035
2016	AT1G60440	1	22266416	22269258	22266773	22267996	0.521934722	1.565700054
2017	AT1G60460	1	22275484	22279007	22277452	22278550	0.878208265	1.328469992
2018	AT1G60490	1	22285572	22290389	22285902	22289458	0.532358844	3.757669926
2019	AT1G60550	1	22305780	22308289	22306506	22306950	1.036457108	1.640249968
2020	AT1G60560	1	22308478	22311377	22308795	22310250	0.568822894	2.435529947
2021	AT1G60600	1	22324437	22327359	22325352	22325750	1.155973367	1.565700054
2022	AT1G60610	1	22327792	22330318	22328400	22328950	0.854044169	1.043799996
2023	AT1G60620	1	22330894	22333568	22331752	22333314	0.819243026	2.548089981
2024	AT1G60640	1	22337253	22339736	22337752	22338800	0.740221615	1.983219981
2025	AT1G60650	1	22339809	22342337	22340551	22342268	0.448210399	1.261260033
2026	AT1G60670	1	22343585	22347624	22344519	22347440	0.378509251	2.087599993
2027	AT1G60710	1	22354698	22356875	22355452	22355568	0.707462668	0.869831026
2028	AT1G60730	1	22357976	22360277	22358434	22359063	0.914271853	2.609489918
2029	AT1G60750	1	22362293	22363854	22363602	22363657	0.834731996	0.929708004
2030	AT1G60770	1	22366701	22368714	22367152	22368000	0.545996765	1.304749966
2031	AT1G60780	1	22368953	22372223	22369270	22371412	0.449381099	1.565700054
2032	AT1G60800	1	22383393	22387766	22385152	22385800	0.769434771	1.101789951
2033	AT1G60850	1	22397913	22400413	22398158	22399700	0.469089487	2.087599993
2034	AT1G60860	1	22400857	22407824	22401452	22406350	0.646800266	2.022360086
2035	AT1G60890	1	22412188	22417312	22412330	22416092	0.868533133	6.958650112
2036	AT1G60900	1	22423894	22428053	22424452	22427798	0.373372501	1.826650023
2037	AT1G60930	1	22430847	22438877	22431552	22436850	0.708398446	1.983219981
2038	AT1G60940	1	22439063	22442221	22439802	22441150	0.51444296	1.435220003
2039	AT1G60990	1	22462026	22465495	22462340	22464530	0.748197449	2.609489918
2040	AT1G60989	1	22462160	22462721	22462340	22462722	1.157895221	2.609489918
2041	AT1G60995	1	22465571	22470839	22465795	22470100	0.354751026	1.192909956
2042	AT1G61000	1	22470828	22474187	22471652	22473450	0.605703914	1.913630009
2043	AT1G61010	1	22474267	22477765	22474935	22476883	0.417269323	1.043799996
2044	AT1G61030	1	22477896	22482451	22478778	22482102	0.333393454	1.565700054
2045	AT1G61040	1	22483104	22485969	22484202	22485450	1.023078839	3.01541996
2046	AT1G61080	1	22492878	22497267	22494102	22495000	0.570231777	0.899589002
2047	AT1G61100	1	22508524	22512333	22508845	22511323	0.779516001	3.862050056
2048	AT1G61140	1	22534663	22540933	22535252	22540066	0.441264781	3.392339945
2049	AT1G61150	1	22542402	22545661	22543202	22545150	0.82739587	3.846590042
2050	AT1G61180	1	22551271	22554684	22552652	22553556	0.936219995	1.565700054
2051	AT1G61210	1	22564359	22572029	22565375	22571500	0.436723873	2.783459902
2052	AT1G61215	1	22572609	22575583	22574019	22575364	1.016034352	3.966429949
2053	AT1G61240	1	22581336	22585225	22582837	22584350	0.949747222	1.913630009
2054	AT1G61250	1	22585752	22588969	22586902	22588450	0.378831193	0.848085999
2055	AT1G61280	1	22603586	22605008	22604573	22604900	1.157087445	1.565700054
2056	AT1G61310	1	22612998	22616373	22614244	22614750	1.096384357	2.087599993
2057	AT1G61320	1	22617370	22619853	22618202	22618750	0.798663269	1.913630009
2058	AT1G61350	1	22633774	22636101	22634852	22635300	0.784300559	1.043799996
2059	AT1G61360	1	22637688	22641999	22638166	22639600	0.995419106	2.21807003
2060	AT1G61370	1	22641843	22645922	22642602	22644250	0.901163819	2.870440006
2061	AT1G61380	1	22645923	22650072	22647352	22647450	0.978562027	1.356940031
2062	AT1G61400	1	22654507	22658469	22655052	22656800	1.155973899	4.305669785
2063	AT1G61415	1	22659661	22660967	22660302	22660600	0.677678665	1.241269946
2064	AT1G61420	1	22660460	22664502	22660533	22662750	1.181581852	9.602939606
2065	AT1G61430	1	22664501	22668651	22665802	22667590	1.076014159	2.609489918
2066	AT1G61460	1	22674268	22677188	22674325	22676500	0.667823816	2.087599993
2067	AT1G61490	1	22684894	22689611	22685702	22687450	1.092344121	4.43614006
2068	AT1G61540	1	22702498	22703706	22703023	22703150	0.873661359	0.907841027
2069	AT1G61550	1	22704198	22707829	22704552	22706300	1.191798065	1.945260048
2070	AT1G61580	1	22720560	22723152	22721002	22721892	0.521320605	1.342030048
2071	AT1G61640	1	22746340	22749264	22746704	22748600	0.554132494	2.087599993
2072	AT1G61670	1	22769364	22772426	22771021	22772388	0.388073177	1.304749966
2073	AT1G61680	1	22772315	22774720	22772335	22773150	0.812221009	1.565700054
2074	AT1G61690	1	22782427	22786942	22782737	22786048	0.70712911	4.697090149
2075	AT1G61730	1	22793170	22794714	22793591	22793808	0.953067491	1.513509989
2076	AT1G61770	1	22810111	22812677	22810852	22812412	0.497331497	1.118350029
2077	AT1G61790	1	22814216	22816688	22815252	22815992	0.711122264	1.391729951
2078	AT1G61850	1	22855751	22862398	22856702	22861950	0.361188054	1.806570053
2079	AT1G61860	1	22862655	22864898	22863002	22864300	1.189260145	6.088819981
2080	AT1G61870	1	22864951	22866666	22865302	22865550	1.073430407	1.467839956
2081	AT1G61900	1	22882176	22885125	22882573	22884100	0.518066657	1.826650023
2082	AT1G61950	1	22899389	22902118	22900202	22900450	0.90984441	1.356940031
2083	AT1G61970	1	22904449	22907730	22905502	22907363	0.607511737	1.356940031
2084	AT1G61980	1	22908018	22910878	22909024	22910086	0.998481759	3.027009964
2085	AT1G61990	1	22911159	22913122	22911752	22912913	0.480576336	1.565700054
2086	AT1G62000	1	22913359	22914146	22913752	22913840	0.625505507	0.654555023
2087	AT1G62010	1	22915699	22917363	22916596	22916900	0.735767143	1.043799996
2088	AT1G62020	1	22919487	22924024	22920552	22923400	0.419371993	2.191979885
2089	AT1G62040	1	22932760	22934549	22933940	22934119	0.368228599	0.652374029
2090	AT1G62050	1	22936049	22939024	22936503	22936572	0.809314996	0.815708995
2091	AT1G62085	1	22947843	22950488	22947952	22949200	0.934014518	2.087599993
2092	AT1G62110	1	22957876	22959884	22958211	22958896	0.601223071	1.148180008
2093	AT1G62130	1	22962129	22968998	22962802	22968278	0.372969138	1.565700054
2094	AT1G62150	1	22969830	22971771	22970352	22970816	1.149636805	2.870440006
2095	AT1G62250	1	22994538	22997709	22995239	22996993	0.566648615	1.850370049
2096	AT1G62290	1	23009885	23013601	23011152	23011450	0.870455335	1.230190039
2097	AT1G62300	1	23016569	23019494	23017199	23018000	0.567400289	0.793081999
2098	AT1G62305	1	23026692	23029531	23027302	23028200	0.680145609	1.043799996
2099	AT1G62310	1	23033403	23039787	23034435	23039050	0.973638816	4.001220226
2100	AT1G62390	1	23084293	23087141	23084572	23086394	0.376324259	1.217759967
2101	AT1G62400	1	23089610	23091732	23090952	23091300	0.927096409	1.416579962
2102	AT1G62410	1	23092915	23093869	23093702	23093863	0.450532995	0.730657995
2103	AT1G62430	1	23105905	23109534	23106252	23108388	0.542828464	1.304749966
2104	AT1G62560	1	23159734	23162881	23160843	23160858	0.695865005	0.869831026
2105	AT1G62580	1	23173286	23176931	23176602	23176850	1.109905207	1.342030048
2106	AT1G62590	1	23176930	23179248	23178002	23178350	0.866353202	1.148180008
2107	AT1G62600	1	23179461	23181519	23180447	23181400	1.059109548	3.261869907
2108	AT1G62610	1	23181463	23183227	23181802	23181895	0.438869491	0.616789997
2109	AT1G62640	1	23192146	23195103	23193059	23194793	0.66419049	1.534999967
2110	AT1G62660	1	23199612	23203808	23202071	23202200	0.992570023	1.364390016
2111	AT1G62670	1	23204256	23206822	23204552	23206150	0.494522493	1.391729951
2112	AT1G62680	1	23207017	23209987	23207452	23209100	0.72359879	1.774459958
2113	AT1G62730	1	23229059	23230818	23229702	23229800	0.2956305	0.319873989
2114	AT1G62740	1	23230922	23233543	23232127	23232994	0.349188328	0.835038006
2115	AT1G62830	1	23264486	23267221	23264902	23266400	1.031710867	3.392339945
2116	AT1G62840	1	23271416	23272578	23271821	23271900	0.946156502	0.964016974
2117	AT1G62850	1	23271703	23274340	23271821	23273403	1.194168245	5.023280144
2118	AT1G62880	1	23291900	23295266	23292802	23293550	0.68767813	1.200369954
2119	AT1G62914	1	23301315	23303162	23302102	23303034	0.640776929	1.304749966
2120	AT1G62915	1	23303241	23304287	23303278	23304225	0.326964683	1.565700054
2121	AT1G62920	1	23304313	23306374	23304353	23305850	0.728494639	1.739660025
2122	AT1G62930	1	23306534	23308686	23307252	23308654	0.7897919	5.740890026
2123	AT1G62950	1	23314871	23318234	23316352	23318174	0.840380763	2.377540112
2124	AT1G62960	1	23318187	23320427	23318952	23319335	0.575486746	1.174270034
2125	AT1G62970	1	23323258	23326188	23324402	23325600	0.436488039	2.087599993
2126	AT1G62975	1	23328727	23330812	23329852	23330149	1.076035659	1.435220003
2127	AT1G62980	1	23331563	23333246	23331844	23332250	0.987787873	1.356940031
2128	AT1G63010	1	23347561	23352831	23348302	23351100	0.651094939	3.131390095
2129	AT1G63020	1	23354685	23362589	23356952	23360700	1.139105699	4.958040237
2130	AT1G63080	1	23387574	23390838	23388402	23390146	0.467079333	1.565700054
2131	AT1G63110	1	23404688	23408119	23405652	23407776	0.488402521	1.565700054
2132	AT1G63120	1	23408804	23411139	23409197	23409772	0.602807771	1.375920057
2133	AT1G63130	1	23412518	23415155	23413402	23414775	0.437438191	1.043799996
2134	AT1G63150	1	23419294	23421714	23420352	23421160	0.8517526	1.461320043
2135	AT1G63160	1	23421834	23423914	23422752	23423099	1.002608142	1.913630009
2136	AT1G63170	1	23425352	23427408	23426443	23427405	0.483245901	1.043799996
2137	AT1G63180	1	23427405	23429652	23427436	23427550	0.887403985	1.328469992
2138	AT1G63270	1	23469554	23471510	23470052	23470376	0.993998566	1.461320043
2139	AT1G63290	1	23471844	23473922	23471937	23473035	1.091480838	3.131390095
2140	AT1G63300	1	23481907	23486220	23483452	23485400	0.903558	1.722270012
2141	AT1G63350	1	23494643	23497940	23496402	23496544	1.121113678	1.275750041
2142	AT1G63410	1	23510075	23512088	23510352	23510630	0.676888163	2.087599993
2143	AT1G63430	1	23522449	23526832	23523585	23526100	0.563657627	2.087599993
2144	AT1G63440	1	23527570	23531226	23528511	23530558	1.148206553	3.653290033
2145	AT1G63460	1	23534946	23536467	23535882	23536438	0.500010418	0.695864975
2146	AT1G63470	1	23536466	23539242	23536528	23538099	0.856745614	2.178359985
2147	AT1G63480	1	23539557	23542233	23539989	23540150	0.667980745	1.168059945
2148	AT1G63490	1	23544554	23553232	23545005	23552650	0.35302154	5.740890026
2149	AT1G63500	1	23555399	23558917	23556802	23558664	0.52169877	1.855640054
2150	AT1G63540	1	23566958	23569495	23567776	23568891	0.202685927	0.674118996
2151	AT1G63610	1	23583196	23585784	23583902	23584650	0.694368327	1.122079968
2152	AT1G63640	1	23588936	23595925	23589215	23594900	0.532808084	2.609489918
2153	AT1G63660	1	23603791	23607275	23604302	23606144	0.880359706	3.943239927
2154	AT1G63670	1	23607357	23610779	23608245	23609419	0.899564647	2.907720089
2155	AT1G63680	1	23614340	23617912	23615502	23617050	0.609915712	1.043799996
2156	AT1G63690	1	23618012	23622396	23619452	23621850	0.641089628	3.131390095
2157	AT1G63700	1	23624627	23630073	23625202	23628967	0.63918062	3.131390095
2158	AT1G63730	1	23641770	23645132	23642674	23644800	0.426155373	1.826650023
2159	AT1G63740	1	23645206	23649289	23646358	23648918	0.35507025	1.826650023
2160	AT1G63770	1	23657506	23664793	23657916	23663499	0.298165888	1.826650023
2161	AT1G63780	1	23664830	23667372	23665402	23666381	0.588347743	1.391729951
2162	AT1G63810	1	23669458	23675949	23669852	23674959	0.601493256	5.392960072
2163	AT1G63830	1	23685093	23687374	23686403	23686951	0.880355009	1.515990019
2164	AT1G63850	1	23696720	23699030	23698136	23698871	0.391906621	0.811842978
2165	AT1G63855	1	23699369	23701013	23699753	23700050	0.867712835	1.398689985
2166	AT1G63870	1	23707131	23711944	23710102	23711300	0.384434711	1.565700054
2167	AT1G63900	1	23716643	23719337	23717552	23719079	0.43679633	1.739660025
2168	AT1G63940	1	23729875	23733974	23730817	23733300	0.692376111	2.818249941
2169	AT1G63970	1	23738673	23740384	23738976	23739543	0.58269541	1.043799996
2170	AT1G63980	1	23740493	23743302	23741486	23743057	0.329566444	0.695864975
2171	AT1G63990	1	23742842	23745385	23742843	23743450	0.600374842	1.913630009
2172	AT1G64040	1	23758241	23760663	23758719	23759608	1.118228163	2.609489918
2173	AT1G64050	1	23762259	23766168	23763446	23765550	0.57753304	2.191979885
2174	AT1G64060	1	23769774	23776984	23774738	23776230	0.776134389	1.826650023
2175	AT1G64140	1	23803793	23807159	23804092	23806229	0.46913453	2.551510096
2176	AT1G64150	1	23808835	23812725	23810129	23811650	1.047413641	5.479939938
2177	AT1G64190	1	23825328	23827136	23825802	23826051	0.887273192	1.233579993
2178	AT1G64230	1	23833485	23835539	23834762	23835106	0.718204618	1.304749966
2179	AT1G64300	1	23863066	23866045	23864302	23865450	0.842330041	2.870440006
2180	AT1G64310	1	23866053	23867711	23867002	23867514	1.020112086	1.449720025
2181	AT1G64320	1	23867971	23870703	23868902	23869150	1.190599597	1.503069997
2182	AT1G64330	1	23870885	23874201	23872852	23873742	0.701232154	1.379299998
2183	AT1G64340	1	23878066	23881073	23879152	23880875	0.274002028	1.043799996
2184	AT1G64350	1	23881512	23883354	23882502	23882800	1.005483682	1.565700054
2185	AT1G64385	1	23899994	23902281	23900802	23901600	0.533496683	1.239510059
2186	AT1G64430	1	23933380	23936867	23934402	23936050	0.453282785	1.304749966
2187	AT1G64440	1	23936975	23939899	23937937	23939542	0.684379327	2.191979885
2188	AT1G64460	1	23943484	23945810	23944152	23945070	0.922609114	2.922630072
2189	AT1G64500	1	23953099	23954610	23954081	23954266	0.743492222	0.812519014
2190	AT1G64520	1	23956269	23958461	23957268	23958460	0.987818482	3.392339945
2191	AT1G64530	1	23959627	23963083	23960752	23962789	0.677363391	1.913630009
2192	AT1G64550	1	23968750	23973614	23969502	23973430	0.309915039	0.797345996
2193	AT1G64561	1	23974041	23974789	23974320	23974447	0.464204659	0.489683002
2194	AT1G64570	1	23978613	23983925	23979352	23983895	0.376876565	2.522510052
2195	AT1G64580	1	23984790	23986762	23984939	23985900	0.412445749	0.927820027
2196	AT1G64583	1	23986890	23988812	23987316	23988000	0.744715493	1.192909956
2197	AT1G64610	1	23998725	24002058	23999402	24000550	0.846903318	1.461320043
2198	AT1G64630	1	24019490	24022310	24020606	24022087	0.440422302	2.296360016
2199	AT1G64650	1	24023498	24026530	24024093	24025699	0.796669543	4.175189972
2200	AT1G64700	1	24039706	24040636	24039706	24039781	0.652374491	1.043799996
2201	AT1G64720	1	24046553	24048822	24046707	24047415	0.717255004	3.653290033
2202	AT1G64750	1	24052362	24053923	24052394	24052575	0.557686198	0.969241023
2203	AT1G64790	1	24064822	24083428	24065215	24081358	0.314730608	2.029609919
2204	AT1G64810	1	24086558	24088581	24087421	24087800	1.118405998	1.863919973
2205	AT1G64820	1	24088605	24090558	24088612	24088900	0.750759155	1.017699957
2206	AT1G64830	1	24091137	24092579	24092215	24092350	0.914177994	0.943432987
2207	AT1G64840	1	24093496	24095485	24094113	24095124	0.708849709	1.500460029
2208	AT1G64880	1	24105611	24109243	24106720	24108700	0.499089949	1.217759967
2209	AT1G64960	1	24129836	24134204	24130652	24134140	0.455576441	1.670079947
2210	AT1G64970	1	24134085	24136109	24134139	24134500	0.642458683	1.565700054
2211	AT1G64980	1	24137405	24139325	24137639	24138500	1.040474776	2.112449884
2212	AT1G64990	1	24139851	24146281	24140188	24145264	0.295373413	0.695864975
2213	AT1G65010	1	24149208	24154412	24149982	24154391	0.329322028	1.043799996
2214	AT1G65020	1	24154344	24156616	24154345	24155813	0.711376281	6.132309914
2215	AT1G65032	1	24158650	24159635	24158789	24158950	0.532771491	0.695864975
2216	AT1G65040	1	24159685	24163669	24160014	24162719	0.476798561	1.630929947
2217	AT1G65070	1	24172577	24176356	24173002	24175447	0.714479455	6.784689903
2218	AT1G65080	1	24176563	24180871	24177726	24180471	0.417489175	1.043799996
2219	AT1G65120	1	24191179	24196337	24191702	24194900	0.499187216	1.067520022
2220	AT1G65180	1	24211678	24213946	24212302	24212500	1.122084513	1.356940031
2221	AT1G65220	1	24225951	24228970	24226851	24228785	0.323801333	0.969241023
2222	AT1G65230	1	24229063	24230902	24230002	24230558	0.887852338	2.522510052
2223	AT1G65260	1	24236088	24240728	24237041	24240467	0.331438863	0.782848001
2224	AT1G65270	1	24241706	24245074	24242538	24244703	0.354354576	1.043799996
2225	AT1G65280	1	24245122	24248762	24246022	24248600	0.413865709	1.913630009
2226	AT1G65290	1	24248727	24250436	24248852	24249707	0.524545275	0.913322985
2227	AT1G65320	1	24259880	24262998	24260205	24261055	0.903298445	3.653290033
2228	AT1G65350	1	24272518	24277275	24272981	24275807	0.076835634	0.223671004
2229	AT1G65360	1	24281337	24282233	24281358	24281550	0.587136514	0.652374029
2230	AT1G65380	1	24286742	24289329	24287652	24288994	0.473907667	0.894684017
2231	AT1G65410	1	24295169	24297595	24296380	24297435	0.543956326	1.174270034
2232	AT1G65430	1	24300829	24306338	24301452	24305552	0.326510161	1.014799953
2233	AT1G65440	1	24306545	24314639	24306962	24313518	0.257076187	0.869831026
2234	AT1G65470	1	24319396	24324091	24320252	24322650	1.117148001	2.576879978
2235	AT1G65540	1	24362045	24366466	24362402	24365800	0.347365274	1.043799996
2236	AT1G65560	1	24371387	24373823	24372152	24372350	0.366444247	0.753853977
2237	AT1G65580	1	24377263	24384086	24377571	24383350	0.550469005	2.087599993
2238	AT1G65590	1	24385552	24391208	24389552	24390374	0.791312295	1.356940031
2239	AT1G65650	1	24415015	24417769	24415067	24416939	0.502816002	2.013040066
2240	AT1G65660	1	24418071	24421361	24418361	24420483	0.356205922	1.565700054
2241	AT1G65700	1	24434203	24436456	24434852	24435624	0.460707122	1.135900021
2242	AT1G65730	1	24442388	24446291	24445411	24445650	0.834215999	1.272130013
2243	AT1G65770	1	24460656	24461738	24461352	24461415	0.914078504	0.998947024
2244	AT1G65810	1	24476949	24480869	24478202	24478950	1.067232943	1.565700054
2245	AT1G65820	1	24485046	24486954	24486152	24486541	0.736716747	1.252560019
2246	AT1G65840	1	24489758	24493077	24490664	24491950	0.585431191	2.087599993
2247	AT1G65860	1	24498954	24502776	24498974	24499050	1.047424525	1.109040022
2248	AT1G65880	1	24508482	24510742	24509452	24509700	0.983400202	1.193799973
2249	AT1G65890	1	24512438	24514659	24513302	24513600	0.901619663	2.261559963
2250	AT1G65930	1	24538886	24542712	24540289	24541250	0.447191041	1.043799996
2251	AT1G65950	1	24546682	24551144	24547069	24550450	0.441799097	3.653290033
